3:1:1:1	الٓمٓ	P	INL|
3:2:1:1	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
3:2:2:1	لَآ	P	NEG|LEM:لا|FAM:إِنّ
3:2:3:1	إِلَٰهَ	N	ROOT:أله|LEM:إِلٰه|MS|ACC
3:2:4:1	إِلَّا	P	EXP|LEM:إِلّا
3:2:5:1	هُوَ	N	PRON|3MS
3:2:6:1	ٱلْ	P	DET|PREF|LEM:ال
3:2:6:2	حَىُّ	N	ROOT:حيي|LEM:حَيّ|MS|NOM
3:2:7:1	ٱلْ	P	DET|PREF|LEM:ال
3:2:7:2	قَيُّومُ	N	ROOT:قوم|LEM:قَيُّوم|MS|NOM|ADJ
3:3:1:1	نَزَّلَ	V	PERF|VF:2|ROOT:نزل|LEM:نَزَّلَ|3MS
3:3:2:1	عَلَيْ	P	P|LEM:عَلَى
3:3:2:2	كَ	N	PRON|SUFF|2MS
3:3:3:1	ٱلْ	P	DET|PREF|LEM:ال
3:3:3:2	كِتَٰبَ	N	ROOT:كتب|LEM:كِتاب|M|ACC
3:3:4:1	بِ	P	P|PREF|LEM:ب
3:3:4:2	ٱلْ	P	DET|PREF|LEM:ال
3:3:4:3	حَقِّ	N	ROOT:حقق|LEM:حَقّ|M|GEN
3:3:5:1	مُصَدِّقًا	N	ACT_PCPL|VF:2|ROOT:صدق|LEM:مُصَدِّق|M|INDEF|ACC
3:3:6:1	لِّ	P	P|PREF|LEM:ل
3:3:6:2	مَا	N	REL|LEM:ما
3:3:7:1	بَيْنَ	N	LOC|ROOT:بين|LEM:بَيْن|ACC
3:3:8:1	يَدَيْ	N	ROOT:يدي|LEM:يَد|FD|GEN
3:3:8:2	هِ	N	PRON|SUFF|3MS
3:3:9:1	وَ	P	CONJ|PREF|LEM:و
3:3:9:2	أَنزَلَ	V	PERF|VF:4|ROOT:نزل|LEM:أَنزَلَ|3MS
3:3:10:1	ٱل	P	DET|PREF|LEM:ال
3:3:10:2	تَّوْرَىٰةَ	N	PN|LEM:تَوْراة|ACC
3:3:11:1	وَ	P	CONJ|PREF|LEM:و
3:3:11:2	ٱلْ	P	DET|PREF|LEM:ال
3:3:11:3	إِنجِيلَ	N	PN|LEM:إِنجِيل|ACC
3:4:1:1	مِن	P	P|LEM:مِن
3:4:2:1	قَبْلُ	N	ROOT:قبل|LEM:قَبْل|GEN
3:4:3:1	هُدًى	N	ROOT:هدي|LEM:هُدًى|M|INDEF|ACC
3:4:4:1	لِّ	P	P|PREF|LEM:ل
3:4:4:2	ل	P	DET|PREF|LEM:ال
3:4:4:3	نَّاسِ	N	ROOT:أنس|LEM:ناس|MP|GEN
3:4:5:1	وَ	P	CONJ|PREF|LEM:و
3:4:5:2	أَنزَلَ	V	PERF|VF:4|ROOT:نزل|LEM:أَنزَلَ|3MS
3:4:6:1	ٱلْ	P	DET|PREF|LEM:ال
3:4:6:2	فُرْقَانَ	N	ROOT:فرق|LEM:فُرْقان|M|ACC
3:4:7:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
3:4:8:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
3:4:9:1	كَفَرُ	V	PERF|VF:1|ROOT:كفر|LEM:كَفَرَ|3MP
3:4:9:2	وا۟	N	PRON|SUFF|3MP
3:4:10:1	بِ	P	P|PREF|LEM:ب
3:4:10:2	ـَٔايَٰتِ	N	ROOT:أيي|LEM:آيَة|FP|GEN
3:4:11:1	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
3:4:12:1	لَ	P	P|PREF|LEM:ل
3:4:12:2	هُمْ	N	PRON|3MP
3:4:13:1	عَذَابٌ	N	ROOT:عذب|LEM:عَذاب|M|INDEF|NOM
3:4:14:1	شَدِيدٌ	N	ROOT:شدد|LEM:شَدِيد|MS|INDEF|NOM|ADJ
3:4:15:1	وَ	P	REM|PREF|LEM:و
3:4:15:2	ٱللَّهُ	N	PN|ROOT:أله|LEM:اللَّه|NOM
3:4:16:1	عَزِيزٌ	N	ROOT:عزز|LEM:عَزِيز|MS|INDEF|NOM
3:4:17:1	ذُو	N	LEM:ذُو|MS|NOM
3:4:18:1	ٱنتِقَامٍ	N	VN|VF:8|ROOT:نقم|LEM:انتِقام|M|INDEF|GEN
3:5:1:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
3:5:2:1	ٱللَّهَ	N	PN|ROOT:أله|LEM:اللَّه|ACC
3:5:3:1	لَا	P	NEG|LEM:لا
3:5:4:1	يَخْفَىٰ	V	IMPF|VF:1|ROOT:خفي|LEM:يَخْفَى|3MS|MOOD:SUBJ
3:5:5:1	عَلَيْ	P	P|LEM:عَلَى
3:5:5:2	هِ	N	PRON|SUFF|3MS
3:5:6:1	شَىْءٌ	N	ROOT:شيأ|LEM:شَىْء|M|INDEF|NOM
3:5:7:1	فِى	P	P|LEM:فِي
3:5:8:1	ٱلْ	P	DET|PREF|LEM:ال
3:5:8:2	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
3:5:9:1	وَ	P	CONJ|PREF|LEM:و
3:5:9:2	لَا	P	NEG|LEM:لا
